# 大辞林第二版 EPWING (EBWin用Large版)
#	Author	:	hishida
#	Date	:	Ver.2.0	2007.9.27	全漢字対応版
#
#	※当ファイルはDAIJIRIN.mapのUTF-8テキスト版です。
#
#	◎このファイルの見方
#		GAIJI	EPWINGの外字(書籍定義文字)です。hXXXXは半角、zXXXXは全角を表します。
#		unicode	対応するUnicodeです。uXXXX(16進数)で表記します。
#			2文字以上の合字の場合、uXXXX,uXXXXのようにカンマ区切りで続けて記述します。
#		ascii	Unicodeが定義されない場合の代替文字です。EBWinではクリップボードコピーで使用します。
#		#で始まる行はコメントです。行内の # から末尾まではコメントです。
#		(未使用)	『大辞林』本文中で出現しない未使用の外字です。
#
#	◎外字調査について
#		使用したCD-ROMは、『三省堂 スーパー大辞林 CD-ROM』です。
#		全角外字1499文字中、『大辞林』本文に現れる1369文字を調査しました。
#
#		Unicodeが見つけられなかった漢字は × を付記しています。
#		CJK漢字拡張-Aの文字は (Ext-A)、CJK漢字拡張-Bの文字は (Ext-B)とコメントしています。
#		(Ext-A)*、(Ext-B)* のように*のついた文字は、JIS2004に収録されているため、
#		MSゴシック・明朝ver5.0やメイリオフォント環境なら表示することができます。
#		CJK漢字拡張-A,Bの全ての文字を表示するには、MingLiU-ExtBなどのフォントが必要です。
#
#	◎二次使用について
#		このファイルの一部、または全部を、自由に改変、再利用、再配布することを許可します。
#
#	◎使用上の注意
#		WindowsXP SP2のMS UI Gothicでの使用を想定しています。
#		MS UI Gothicに収録されていない文字はコメントにしています。



#ebcode	unicode	ascii	#	char	comment
hC121	u00E1	a	#	á	
hC122	u00E0	a	#	à	
hC123	u00E2	a	#	â	
hC124	u00E4	a	#	ä	
hC125	u00E3	a	#	ã	
hC126	u0101	a	#	ā	
hC127	u00E9	e	#	é	
hC128	u00E8	e	#	è	
hC129	u00EA	e	#	ê	
hC12A	u00EB	e	#	ë	
hC12B	u0113	e	#	ē	
hC12C	u00ED	i	#	í	
hC12D	u00EE	i	#	î	
hC12E	u00EF	i	#	ï	
hC12F	u00F1	n	#	ñ	
hC130	u00F3	o	#	ó	
hC131	u00F2	o	#	ò	
hC132	u00F4	o	#	ô	
hC133	u00F6	o	#	ö	
hC134	u0159	r	#	ř	
hC135	u00FA	u	#	ú	
hC136	u00FC	u	#	ü	
hC137	u007E		#	~	
hC138	u00E7	c	#	ç	
hC139	u02C7		#	ˇ	
hC13A	u0261		#	ɡ	
hC13B	u014B		#	ŋ	
hC13C	u0292		#	ʒ	
hC13D	u0283		#	ʃ	
hC13E	u0254		#	ɔ	
hC13F	u00F0		#	ð	
hC140	u00C1	A	#	Á	
hC141	u00CD	I	#	Í	
hC142	u00DA	U	#	Ú	
hC143	u00C9	E	#	É	
hC144	u00D3	O	#	Ó	
hC145	u00C0	A	#	À	
hC146	u00C8	E	#	È	
hC147	u00D2	O	#	Ò	
hC148	u00EC	i	#	ì	
hC149	u00F9	u	#	ù	
hC14A	u00FD	y	#	ý	
hC14B	u0079,u0300	y	#	y`	
hC14C	u0251		#	ɑ	
hC14D	u0259		#	ə	
hC14E	-		#	əイタリック	
hC14F	u025B		#	ɛ	
hC150	u03B8		#	θ	
hC151	u028C		#	ʌ	
hC152	u0251,u0301		#	ɑ´	
hC153	u0259,u0301		#	ə´	
hC154	u0254,u0301		#	ɔ´	
hC155	u025B,u0301		#	ɛ´	
hC156	u028C,u0301		#	ʌ´	
hC157	u0251,u0300		#	ɑ`	
hC158	u0259,u0300		#	ə`	
hC159	u0254,u0300		#	ɔ`	
hC15A	u025B,u0300		#	ɛ`	
hC15B	u028C,u0300		#	ʌ`	
hC15C	u00E6	ae	#	æ	
hC15D	u01FD	ae	#	ǽ	
hC15E	u00E6,u0300	ae	#	æ`	
hC15F	u00C6	AE	#	Æ	
hC160	u0251,u0303		#	ɑ~	
hC161	u00E5	a	#	å	
hC162	u02D8		#	˘	
hC163	u0103	a	#	ă	
hC164	u014F	o	#	ŏ	
hC165	u012D	i	#	ĭ	
hC166	u0056,u0301	V	#	V´	
hC167	u0054,u0301	T	#	T´	
hC168	-		#	ɡイタリック	
hC169	u0254,u0303		#	ɔ~	
hC16B	-		#	ɚイタリック	
hC16C	-	-	#	-´	
hC16D	-	-	#	-`	
hC16E	-	a	#	a~´	
hC16F	-		#	ŋイタリック	
hC170	-	m	#	m。	
hC171	-	m	#	m´。	
hC172	-		#		
hC173	-		#	~´	
hC174	-		#	ɑ~´	
hC175	-	ae	#	ae~´	
hC176	-		#	ɔ~´	
hC177	u0107		#	ć	
hC178	-		#	ɑ~`	
hC179	-		#	ɛ~`	
hC17A	-	ae	#	ae~`	
hC17B	u0075,u0302	u	#	u^	
hC17C	u00DD	Y	#	Ý	
hC17D	-		#	ɔ~`	
hC17E	u004D,u0301	M	#	M´	
hC221	-		#	ɛ~	
hC222	-	+	#		
hC223	-	X	#		
hC224	u014D	o	#	ō	
hC225	u0067,u0306	g	#	g˘	
hC226	-	A	#	イタリック	
hC227	-	B	#	イタリック	
hC228	-	D	#	イタリック	
hC229	u0044,u0323	D	#	D.	
hC22A	-	E	#	イタリック	
hC22B	-	F	#	イタリック	
hC22C	-	G	#	イタリック	
hC22D	-	H	#	イタリック	
hC22E	u0048,u0323	H	#	H.	
hC22F	-	L	#	イタリック	
hC230	-	M	#	イタリック	
hC231	-	N	#	イタリック	
hC232	-	P	#	イタリック	
hC233	-	Q	#	イタリック	
hC234	-	R	#	イタリック	
hC235	u0052,u0323	R	#	R.	
hC236	-	S	#	イタリック	
hC237	u0053,u0323	S	#	S.	
hC238	-	T	#	イタリック	
hC239	-	V	#	イタリック	
hC23A	u005A,u0323	Z	#	Z.	
hC23B	-	a	#	イタリック	
hC23C	u0061,u0328	a	#	a˛	
hC23D	-	b	#	イタリック	
hC23E	-	c	#	イタリック	
hC23F	-	d	#	イタリック	
hC240	u0064,u0323	d	#	d.	
hC241	-	e	#	イタリック	
hC242	u0065,u0328	e	#	e˛	
hC243	-	f	#	イタリック	
hC244	-	g	#	イタリック	
hC245	-	h	#	イタリック	
hC246	u0068,u0323	h	#	h.	
hC247	-	i	#	イタリック	
hC248	u0069,u0323	i	#	i.	
hC249	-	k	#	イタリック	
hC24A	-	l	#	イタリック	
hC24B	-	m	#		
hC24C	u006D,u0323	m	#	m.	
hC24D	-	n	#	イタリック	
hC24E	u006E,u0323	n	#	n.	
hC24F	-	o	#	イタリック	
hC250	-	p	#	イタリック	
hC251	-	q	#	イタリック	
hC252	-	r	#	イタリック	
hC253	u0072,u0323	r	#	r.	
hC254	-	s	#	イタリック	
hC255	u0073,u0327	s	#	s¸	
hC256	u0073,u0323	s	#	s.	
hC257	-	t	#	イタリック	
hC258	u0074,u0323	t	#	t.	
hC259	-	v	#	イタリック	
hC25A	-	x	#	イタリック	
hC25B	-	y	#	イタリック	
hC25C	-	z	#	イタリック	
hC25D	u007A,u0323	z	#	z.	
hC25E	u0130	I	#	İ	
hC25F	u006D,u0307	m	#	m˙	
hC260	u006E,u0307	n	#	n˙	
hC261	u017C	z	#	ż	
hC262	u015A	S	#	Ś	
hC263	u0107	c	#	ć	
hC264	u0144	n	#	ń	
hC265	u015B	s	#	ś	
hC266	u00FD	y	#	ý	
hC267	u017A	z	#	ź	
hC268	u00EC	i	#	ì	
hC269	u00C4	A	#	Ä	
hC26A	u00D6	O	#	Ö	
hC26B	u00DC	U	#	Ü	
hC26C	u00FF	y	#	ÿ	
hC26D	u00C2	A	#	Â	
hC26E	-	o	#	o^.	
hC26F	u00FB	u	#	û	
hC270	u0100	A	#	Ā	
hC271	u0112	E	#	Ē	
hC272	u012A	I	#	Ī	
hC273	u014C	O	#	Ō	
hC274	u016A	U	#	Ū	
hC275	u012B	i	#	ī	
hC276	u006E,u0304	n	#	nˉ	
hC277	u0070,u0304	p	#	pˉ	
